theta1,theta2,omega1,omega2
0.11975931819623287,1.0845220429928046,-0.07237438655492323,-0.5786071624104021
0.12019357241076051,1.0966096407396353,-0.053167411772923334,-0.4010903678767084
0.12059723654961445,1.1079505812826533,-0.03393253223738364,-0.22294977196349677
0.12097668268091469,1.1187108148969949,-0.01467572931940482,-0.04433428805263709
0.12133844261990322,1.129062762759664,0.004596810108345416,0.1345989070679727
0.12168918232537124,1.1391841579639934,0.02387872255719484,0.3136856429252175
0.12203566424464524,1.1492567736555035,0.043163511724734545,0.49275617152704604
0.12238472021280879,1.1594649964822006,0.06244457817262627,0.6716367890248852
0.12274321605603403,1.1699943290482318,0.08171526182977974,0.8501515567607445
0.1231180161623655,1.1810298461404232,0.10096888341132544,1.028124086560556
0.13088922829986904,1.290184020401949,0.08585329726230492,-1.1872424482299255
0.1310529501188768,1.2991168990739304,0.10531296248930773,-1.007457805797854
0.13123885604674024,1.307945872528382,0.12475159747809123,-0.8275545623732471
0.13145394438854863,1.3168623489094835,0.14416236448585926,-0.6477152494721413
0.1317051114387043,1.32605720821262,0.16353852160580293,-0.4681230603650063
0.13199912505126143,1.335719101376547,0.18287345206808273,-0.28895982106763946
0.13234258330501925,1.3460329402886881,0.20216071475279335,-0.11040423361768997
0.13274188902035577,1.3571783005386349,0.22139407451299636,0.06737005565442841
0.13320321929072165,1.3693281227189085,0.24056753785760912,0.24419597252335695
0.13373250215351778,1.3826474984937764,0.25967538043254274,0.4199144509076311
0.1343353962648612,1.3972926474360212,0.27871217061362524,0.5943756321566509
0.1410060394335174,1.5055859306388697,0.2653705860447383,-1.6134019023444273
0.14067507120443673,1.5042887649913155,0.2853403489473565,-1.4230427183183127
0.1404280149136893,1.5038490245544371,0.30523188848017313,-1.2334000576789284
0.14027107491658924,1.5044736781068206,0.3250393086994756,-1.0446786183455297
0.1402100673996606,1.5063577953616925,0.3447571476324057,-0.8570702851528961
0.1402504063714842,1.5096833006276231,0.36438039355490776,-0.6707526016310058
0.1403971056321032,1.5146182992265957,0.38390448144939066,-0.4858879671539744
0.14065476432765056,1.5213166314901168,0.40332530695428126,-0.3026231981684209
0.1410275871433002,1.529917725193102,0.42263920163825797,-0.12108934816303275
0.14151939476536643,1.5405466816324496,0.44184291717341906,0.05859816671064233
0.14213360050076845,1.5533144923811448,0.4609336515208032,0.23633896474726027
0.14691469095647647,1.6574913507063578,0.45084448035113334,-1.9481358645390618
0.1460668065816891,1.6426204297481166,0.47132840446997093,-1.7433407488788495
0.14536074536163412,1.6298578466365814,0.4916845227966578,-1.5404302702532446
0.14480018717680943,1.619370562784732,0.5119101499506072,-1.3395583814117524
0.14438832918194555,1.611304569913509,0.5320031363702676,-1.1408551452655766
0.14412790791422778,1.6057857358672716,0.5519618387371144,-0.9444278842788182
0.1440212334457096,1.6029210668051104,0.5717850751747934,-0.750362870401413
0.1440702199052121,1.6028001471964264,0.5914720834578818,-0.5587272446975406
0.1442764255582457,1.6054965449700063,0.6110224712104371,-0.3695708621328438
0.14464106956729855,1.6110693531050004,0.6304361898885985,-0.18292832763207162
0.14516507956887112,1.619564577017943,0.6497134781941033,0.0011792378840520014
0.14810687975225978,1.7145452508399168,0.6429544558055651,-2.147676226913935
0.14687935483509248,1.6879068054118613,0.6637470210546488,-1.9314047023190521
0.14583640511894239,1.664619580577262,0.6843851146502573,-1.7181150375461964
0.14497862394833494,1.6447514073641114,0.7048700544781971,-1.5078307315949577
0.1443062721548372,1.6283519711277532,0.7252034876642198,-1.3005555660611656
0.1438193309440321,1.6154552822580097,0.7453873216060279,-1.0962768471181055
0.14351753378662263,1.6060817829034923,0.7654236838793177,-0.8949681521410333
0.14340040631103168,1.6002404255953724,0.7853148695467087,-0.696591982733265
0.14346729012867498,1.5979303480331735,0.8050633102088944,-0.5011019515220678
0.1437173792599812,1.5991424440916324,0.8246715356057659,-0.3084448303121725
0.14414973642575193,1.6038608175765685,0.8441421414407113,-0.11856230640855797
0.14573733488689744,1.687095468795282,0.8400137218788283,-2.2279816900735154
0.14430800412757377,1.6534858034436068,0.8608615078260046,-2.0070736711054873
0.14308550312483378,1.6240290277255345,0.8815575292316322,-1.7896064211641602
0.1420683434739383,1.5987001073991498,0.9021058904530435,-1.5754792983184154
0.1412549366643818,1.5774665809236375,0.9225107218683264,-1.3645860212844911
0.1406436273399547,1.5602903228673966,0.9427761383163777,-1.1568168582768732
0.14023272606413434,1.547129110813986,0.9629062141636616,-0.9520607317297055
0.14002050272919275,1.537937431178761,0.9829049705697562,-0.7502060001470022
0.14000521505366167,1.5326676727016195,1.0027763514175594,-0.5511421038017397
0.1401851253442396,1.5312709042497303,1.022524214490249,-0.3547603815800683
0.14055848059745962,1.5336973260987168,1.0421523102636499,-0.16095484848885172
0.16955219281541453,1.5097975092199716,-1.0356237660698184,0.2628272948386819
0.16981794821996596,1.5091486732092232,-1.0158266660197843,0.460613247262752
0.16989483045912374,1.5047783603527523,-0.9959614783858721,0.6595068434011567
0.16978192207073775,1.4966653424238199,-0.9760243829529612,0.8596220398976437
0.16947825124214058,1.4847861861918719,-0.9560114212269188,1.0610783290613601
0.1689827893347612,1.4691152851664444,-0.9359184908444683,1.2640006752486077
0.16829446045773053,1.449624957900917,-0.9157413358478068,1.4685198038245115
0.16741212612767442,1.4262853548008887,-0.8954755612647224,1.6747717715569752
0.1663345967745645,1.3990646720968543,-0.8751166248894311,1.8828981764953006
0.16506063344659386,1.3679293090304696,-0.8546598411976296,2.0930459597329896
0.16358895156491465,1.3328441076656814,-0.8341003819764504,2.305367192580002
0.1649809893341903,1.4173034207070683,-0.8376155293035508,0.22321652172542406
0.16528591363724174,1.4180031785511489,-0.8179405076957009,0.41886583001509264
